"estimate","statistic","p.value","method","alternative","GeriatricAssessment","gene","padj"
0.0789403886710458,1225.00928306751,0.740782435643089,"Spearman's rank correlation rho","two.sided","carg_score","VTCN1",0.989178594468286
0.188171684141169,1079.73166009224,0.426916288680789,"Spearman's rank correlation rho","two.sided","carg_score","ZBTB7B",0.989178594468286
-0.0641390657952247,1415.30495750765,0.788202455428685,"Spearman's rank correlation rho","two.sided","carg_score","GUSB",0.989178594468286
-0.00834632469980993,1341.10061185075,0.972141216884797,"Spearman's rank correlation rho","two.sided","carg_score","HPRT1",0.989178594468286
0.156303898923713,1122.11581443146,0.510495182197652,"Spearman's rank correlation rho","two.sided","carg_score","PGK1",0.989178594468286
-0.208658117495248,1607.51529626868,0.37732394200483,"Spearman's rank correlation rho","two.sided","carg_score","UBC",0.989178594468286
-0.0993971396068274,1462.19819567708,0.676729280933981,"Spearman's rank correlation rho","two.sided","carg_score","YWHAZ",0.989178594468286
0.166985402216312,1107.9094150523,0.481643560371342,"Spearman's rank correlation rho","two.sided","carg_score","NEG_A",0.989178594468286
0.137528374869723,1147.08726142327,0.5631277588407,"Spearman's rank correlation rho","two.sided","carg_score","NEG_B",0.989178594468286
0.328980691593229,892.455680181006,0.156688083291715,"Spearman's rank correlation rho","two.sided","carg_score","NEG_C",0.956834850681366
0.195847005585432,1069.52348257137,0.407943818619755,"Spearman's rank correlation rho","two.sided","carg_score","NEG_D",0.989178594468286
0.398024737924831,800.627098559975,0.0822007871108296,"Spearman's rank correlation rho","two.sided","carg_score","NEG_E",0.956834850681366
0.0326171240565062,1286.61922500485,0.891416930895773,"Spearman's rank correlation rho","two.sided","carg_score","NEG_F",0.989178594468286
-0.0951067663720755,1456.49199927486,0.690003876907723,"Spearman's rank correlation rho","two.sided","carg_score","NEG_G",0.989178594468286
-0.0315238248967363,1371.92668711266,0.895036950674226,"Spearman's rank correlation rho","two.sided","carg_score","NEG_H",0.989178594468286
0.114572275424664,1177.6188736852,0.630530793969082,"Spearman's rank correlation rho","two.sided","carg_score","POS_A",0.989178594468286
0.0933270852796929,1205.87497657801,0.695536230757976,"Spearman's rank correlation rho","two.sided","carg_score","POS_B",0.989178594468286
0.311849041056535,915.240775394809,0.180733810058413,"Spearman's rank correlation rho","two.sided","carg_score","POS_C",0.956834850681366
0.203043788168315,1059.95176173614,0.390579774142172,"Spearman's rank correlation rho","two.sided","carg_score","POS_D",0.989178594468286
-0.300047522906477,1729.06320546561,0.1986831193357,"Spearman's rank correlation rho","two.sided","carg_score","POS_E",0.964507606519558
0.37571814322064,830.294869516549,0.102567958316737,"Spearman's rank correlation rho","two.sided","carg_score","POS_F",0.956834850681366
-0.277930015725421,2586.53035182825,0.199124151023393,"Spearman's rank correlation rho","two.sided","sppb_score","ADORA2A",0.964507606519558
0.00753878885331159,2008.7414913609,0.972766409164887,"Spearman's rank correlation rho","two.sided","sppb_score","AHR",0.989178594468286
-0.0276422257954758,2079.94786501004,0.900366716968896,"Spearman's rank correlation rho","two.sided","sppb_score","B3GAT1",0.989178594468286
0.0864447788513062,1849.03576760496,0.694917260550874,"Spearman's rank correlation rho","two.sided","sppb_score","BCL6",0.989178594468286
-0.287479148272949,2605.85779610445,0.18348560678456,"Spearman's rank correlation rho","two.sided","sppb_score","BTLA",0.956834850681366
0.0115594762417444,2000.60362008671,0.958251978303786,"Spearman's rank correlation rho","two.sided","sppb_score","C10orf54",0.989178594468286
-0.180930932479478,2390.20420733846,0.408704196012194,"Spearman's rank correlation rho","two.sided","sppb_score","CCR4",0.989178594468286
-0.365379966423835,2763.52905204184,0.0864483825504629,"Spearman's rank correlation rho","two.sided","sppb_score","CCR6",0.956834850681366
-0.325173092539507,2682.15033929996,0.130025713699912,"Spearman's rank correlation rho","two.sided","sppb_score","CD127",0.956834850681366
-0.110568903181903,2247.79146004017,0.615496492749088,"Spearman's rank correlation rho","two.sided","sppb_score","CD160",0.989178594468286
-0.0673465137562502,2160.30934384265,0.760124229258879,"Spearman's rank correlation rho","two.sided","sppb_score","CD200R1",0.989178594468286
0.405084254384609,1204.10946912555,0.0551742795749357,"Spearman's rank correlation rho","two.sided","sppb_score","CD244",0.956834850681366
-0.0768956463037782,2179.63678811885,0.727291986008616,"Spearman's rank correlation rho","two.sided","sppb_score","CD27",0.989178594468286
0.0658387559855879,1890.74235788517,0.765346693455179,"Spearman's rank correlation rho","two.sided","sppb_score","CD274",0.989178594468286
0.0115594762417444,2000.60362008671,0.958251978303786,"Spearman's rank correlation rho","two.sided","sppb_score","CD276",0.989178594468286
-0.0201034369421642,2064.68935637094,0.927456884520488,"Spearman's rank correlation rho","two.sided","sppb_score","CD28",0.989178594468286
-0.271396398719217,2573.3063110077,0.210329497831724,"Spearman's rank correlation rho","two.sided","sppb_score","CD3D",0.988137610147341
-0.347286873175887,2726.908631308,0.104451369346284,"Spearman's rank correlation rho","two.sided","sppb_score","CD3E",0.956834850681366
-0.0768956463037782,2179.63678811885,0.727291986008616,"Spearman's rank correlation rho","two.sided","sppb_score","CD4",0.989178594468286
-0.1346930275125,2296.6186876853,0.54004528810609,"Spearman's rank correlation rho","two.sided","sppb_score","CD80",0.989178594468286
0.142734402289366,1735.10556976632,0.515888651293922,"Spearman's rank correlation rho","two.sided","sppb_score","CD86",0.989178594468286
-0.259334336553919,2548.89269718513,0.232109016574411,"Spearman's rank correlation rho","two.sided","sppb_score","CD8A",0.989178594468286
-0.431218722409423,2896.78669415667,0.039937471204365,"Spearman's rank correlation rho","two.sided","sppb_score","CD96",0.956834850681366
-0.102527528405038,2231.5157174918,0.641563284746579,"Spearman's rank correlation rho","two.sided","sppb_score","CDKN1B",0.989178594468286
