"","term","estimate","std.error","statistic","p.value","coef.type"
"43","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium.s__Corynebacterium_amycolatum",-813.62712180551,NA,NA,NA,"location"
"44","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium.s__Corynebacterium_argentoratense",-24.764200627818,53.7706611232203,-0.460552280937528,0.645119854338434,"location"
"45","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales",16.0179240144916,18.3432906461969,0.873230671826732,0.382537359948412,"location"
"46","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae",16.0179240144916,18.3432906461969,0.873230671826732,0.382537359948412,"location"
"47","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Rothia",16.0179240144916,18.3432906461969,0.873230671826732,0.382537359948412,"location"
"48","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Rothia.s__Rothia_dentocariosa",22.4553916723142,19.5943782959225,1.14601194961042,0.251790207724758,"location"
"49","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Rothia.s__Rothia_mucilaginosa",-24.9111389723672,48.2819766523099,-0.515951100174673,0.605888562787865,"location"
"50","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales",-3.34945448820792,11.791888402512,-0.284047336090324,0.776374104984627,"location"
"51","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae",-3.34945448820792,11.791888402512,-0.284047336090324,0.776374104984627,"location"
"52","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Propionibacterium",-3.34945448820792,11.791888402512,-0.284047336090324,0.776374104984627,"location"
"53","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Propionibacterium.s__Propionibacterium_freudenreichii",-3.34945448820792,11.791888402512,-0.284047336090324,0.776374104984627,"location"
"54","k__Bacteria.p__Actinobacteria.c__Coriobacteriia",0.0124878152982692,0.0342139238648412,0.364992198720063,0.715117229652477,"location"
"55","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales",0.0132924579252755,0.0362157897192951,0.367034877005415,0.713593002687092,"location"
"56","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae",0.0132924579252755,0.0362157897192951,0.367034877005415,0.713593002687092,"location"
"57","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella",0.0133002474580216,0.0362185607561391,0.367221865815506,0.713453530416899,"location"
"58","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__Collinsella_aerofaciens",0.0102314181250309,0.0374827145473003,0.27296363800225,0.78488116714259,"location"
"59","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__Collinsella_intestinalis",1.60093763081358,1.50434085701876,1.06421202571487,0.287232660442928,"location"
"60","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__Collinsella_stercoris",0.308446669987162,0.3696601032718,0.834406167333591,0.40405214306673,"location"
"61","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Enorma",-491.10816469932,436.821432199372,-1.12427671469007,0.260895653508204,"location"
"62","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Enorma.s__Collinsella_massiliensis",-491.10816469932,436.821432199372,-1.12427671469007,0.260895653508204,"location"
"63","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales",0.0486309143698426,0.301470172231577,0.16131252392189,0.871847259777004,"location"
"64","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae",0.0486309143698426,0.301470172231577,0.16131252392189,0.871847259777004,"location"
"65","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Adlercreutzia",1.23737244148716,1.84460776855331,0.670805177437592,0.502344648765588,"location"
"66","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Adlercreutzia.s__Adlercreutzia_equolifaciens",1.23737244148716,1.84460776855331,0.670805177437592,0.502344648765588,"location"
"67","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Asaccharobacter",0.892510702740413,1.83858808092734,0.485432659984531,0.627369469634992,"location"
"68","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Asaccharobacter.s__Asaccharobacter_celatus",0.892510702740413,1.83858808092734,0.485432659984531,0.627369469634992,"location"
"69","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Eggerthella",0.0153194204434639,0.410429060647627,0.0373253794925998,0.970225569680314,"location"
"70","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Eggerthella.s__Eggerthella_lenta",0.0153194204434639,0.410429060647627,0.0373253794925998,0.970225569680314,"location"
"71","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Enterorhabdus",270.257824855985,335.969192629317,0.804412519912701,0.421158772958479,"location"
"72","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Enterorhabdus.s__Enterorhabdus_caecimuris",270.257824855985,335.969192629317,0.804412519912701,0.421158772958479,"location"
"73","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Gordonibacter",-0.382098678847858,1.50137648678638,-0.254498909641059,0.799110146349096,"location"
"74","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Gordonibacter.s__Gordonibacter_pamelaeae",-0.382098678847858,1.50137648678638,-0.254498909641059,0.799110146349096,"location"
"75","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Slackia",0.0129412821652312,0.802887070865555,0.0161184338804706,0.987139907315257,"location"
"76","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Slackia.s__Slackia_isoflavoniconvertens",0.0129412821652312,0.802887070865555,0.0161184338804706,0.987139907315257,"location"
"77","k__Bacteria.p__Bacteroidetes",0.010077986863545,0.0112148969818532,0.898625005637778,0.368852434843487,"location"
"78","k__Bacteria.p__Bacteroidetes.c__Bacteroidia",0.010077986863545,0.0112148969818532,0.898625005637778,0.368852434843487,"location"
"79","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales",0.010077986863545,0.0112148969818532,0.898625005637778,0.368852434843487,"location"
"80","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae",0.0127674426423305,0.0120758514411764,1.05727059533011,0.290388109113717,"location"
"81","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides",0.0127674426423305,0.0120758514411764,1.05727059533011,0.290388109113717,"location"
"82","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_caccae",-0.039732940976006,0.111887693311366,-0.355114488466891,0.72250382289478,"location"
"83","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_cellulosilyticus",0.0398697716210116,0.126408805262918,0.315403436794504,0.752455357725036,"location"
"84","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_clarus",-0.149062900615404,0.287379792634475,-0.518696527855738,0.603972383365192,"location"
"85","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_dorei",-0.0509690615380081,0.105671928397058,-0.482333031214251,0.629569386100527,"location"
"86","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_eggerthii",-0.0960695432013996,0.12439709265602,-0.772281257947472,0.439947863388251,"location"
"87","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_faecis",0.0419302779238518,0.183523529198074,0.228473581055632,0.819278092274175,"location"
"88","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_faecis_CAG_32",0.260618534546909,0.241947292450549,1.07717070072267,0.281404012133898,"location"
"89","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_finegoldii",1.27656424356802,0.627713435277723,2.03367360299246,0.0419845153428437,"location"
"90","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_fragilis",0.00319772278029805,0.02932160783276,0.109056870228151,0.913157383354976,"location"
"91","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_galacturonicus",1.03438349440987,0.78797979229498,1.31270307249535,0.189283021890768,"location"
"92","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_intestinalis",0.36845050200566,0.24272224174268,1.5179923329658,0.129016331489326,"location"
"93","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_massiliensis",0.0677870263120384,0.0994697252945137,0.681484000396422,0.495565287200161,"location"
"94","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_nordii",3.3865548929303,2.98344293491354,1.13511636281002,0.256326566529971,"location"
"95","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_ovatus",-0.0584483967687974,0.0536068383069832,-1.09031606068779,0.275573942827996,"location"
"96","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_plebeius",0.34631060516705,0.485413334774829,0.713434469878531,0.475576949545134,"location"
"97","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_salyersiae",-0.59841000061456,0.758234812730202,-0.789214621338533,0.429986577674349,"location"
"98","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_sp_CAG_144",-43.0167281527353,43.3115883159474,-0.993192118445041,0.320616338518725,"location"
"99","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_sp_D2",-62.6977721661199,618.611029083042,-0.101352496509892,0.919270644512302,"location"
"100","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_sp_OM08_11",-1.42389402868803,4.68563062704254,-0.303885248758235,0.7612153164606,"location"
"101","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_stercorirosoris",-36.167183191626,41.0162621849263,-0.88177667259299,0.377897588876857,"location"
"102","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_stercoris",0.0334994941022189,0.0484017288303159,0.692113585852678,0.488866000466185,"location"
"103","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_thetaiotaomicron",-0.0591254043984733,0.0800984548327683,-0.738159113330175,0.46041776544736,"location"
"104","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis",0.0324026132630868,0.0327936462719355,0.988075952103461,0.323115452166896,"location"
"105","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_vulgatus",0.0231701721020668,0.0207214819178244,1.11817157643228,0.263493721291209,"location"
"106","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_xylanisolvens",0.0578001749364234,0.102448909714091,0.564185359294979,0.57262799062282,"location"
"107","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae",0.0942841207084663,0.345227433824406,0.273107266314248,0.784770761276928,"location"
"108","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae.g__Barnesiella",-1.05352099696855,1.31341993876634,-0.802120453537578,0.422483284579073,"location"
"109","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae.g__Barnesiella.s__Barnesiella_intestinihominis",-1.05352099696855,1.31341993876634,-0.802120453537578,0.422483284579073,"location"
"110","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae.g__Coprobacter",0.185916136797566,0.35136938162957,0.52911877504901,0.596723057904267,"location"
"111","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae.g__Coprobacter.s__Coprobacter_fastidiosus",0.202160522250353,0.350367565011648,0.576995539651716,0.563942468630634,"location"
"112","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae.g__Coprobacter.s__Coprobacter_secundus",-28.3054683868663,24.2937534932471,-1.16513359677969,0.243964919324792,"location"
"113","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae.g__Coprobacter.s__Coprobacter_sp",-2.32227269386681,9.61680797303987,-0.241480613980976,0.809182639777903,"location"
"114","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Dysgonamonadaceae",-156.95263324729,650.654014561503,-0.24122287688191,0.809382381148313,"location"
"115","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Dysgonamonadaceae.g__Dysgonomonas",-156.95263324729,650.654014561503,-0.24122287688191,0.809382381148313,"location"
"116","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Dysgonamonadaceae.g__Dysgonomonas.s__Dysgonomonas_mossii",-156.95263324729,650.654014561503,-0.24122287688191,0.809382381148313,"location"
"117","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae",-0.217414422694391,0.258737967792525,-0.840288051070766,0.400746899391077,"location"
"118","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Butyricimonas",-0.511714632041072,0.875424968180136,-0.584532827644661,0.558861885752389,"location"
"119","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Butyricimonas.s__Butyricimonas_synergistica",-4.9599210535357,6.90563961347403,-0.718242093586535,0.472608027659506,"location"
"120","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Butyricimonas.s__Butyricimonas_virosa",-0.44232711808377,0.883055208588812,-0.500905395021271,0.616437705430283,"location"
"121","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Odoribacter",-0.194652036720285,0.274244280328538,-0.70977610357852,0.477842989991505,"location"
"122","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Odoribacter.s__Odoribacter_laneus",-1.68085739022151,1.34505717199631,-1.24965497765928,0.211425610543337,"location"
"123","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Odoribacter.s__Odoribacter_splanchnicus",0.52146471261451,0.421248182529289,1.23790376847087,0.215751744857105,"location"
"124","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae",6.64697280700703,12.9171717598819,0.514584224052138,0.606843591515229,"location"
"125","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas",-1427.23423174295,NA,NA,NA,"location"
"126","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas.s__Porphyromonas_asaccharolytica",-1427.23423174295,NA,NA,NA,"location"
"127","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Sanguibacteroides",8.42935678756489,12.9308900055926,0.651877541601484,0.514480173984378,"location"
"128","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Sanguibacteroides.s__Sanguibacteroides_justesenii",8.42935678756489,12.9308900055926,0.651877541601484,0.514480173984378,"location"
"129","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae",-0.0115667236348066,0.0194984224493967,-0.593213305580239,0.553038409130902,"location"
"130","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella",-1.54147333956644,1.57223247849042,-0.980436010994054,0.326870941334471,"location"
"131","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella.s__Paraprevotella_clara",-3.03957470156983,10.0023766010046,-0.303885248758235,0.7612153164606,"location"
"132","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella.s__Paraprevotella_xylaniphila",-1.78040771456042,1.73152723504002,-1.02822969141417,0.303841794844528,"location"
"133","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella",-0.0115613291681969,0.0197079120571861,-0.586633892755846,0.557449614815135,"location"
