"microbe","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TaxaLevel"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Clostridium_methylpentosum",9.83459195905668,20.9453211374426,2.9830129157489,7.02153216530215,2.19448280418884e-12,1.05115726320645e-09,"species"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis",449.216087793014,-12.9018444668763,2.96212200518654,-4.3556087305944,1.32697626348898e-05,0.0063562163021122,"species"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter",13049.6158845103,7.72066684463792,2.91074003634786,2.6524755726125,0.00799039093486939,1,"genus"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum",1935.77024665577,7.48649296674605,2.92153522536621,2.56252017834481,0.0103915549026395,1,"species"
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio",9330.92523157474,7.33553254236753,2.91077807572802,2.52012772926113,0.0117312255966387,1,"genus"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum",39581.4426688652,7.03237101433857,2.91098355818924,2.41580581743753,0.0157004318499412,1,"species"
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger",7064.27503645603,7.00494998079898,2.91432532222217,2.40362663954679,0.0162333432845624,1,"species"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus",927.948381043658,6.90772157522649,2.90004498623393,2.38193600720554,0.0172218899044933,1,"species"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii",67.1856957907805,6.57768455784038,2.94948027707942,2.23011647474165,0.0257397113746892,1,"species"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus",24970.5572228592,-5.64288042612235,2.64335301737496,-2.13474340696504,0.0327819752681257,1,"species"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae_CAG_59",9097.77253163282,-6.16746016611906,2.91037428712882,-2.11912955436514,0.0340795196654008,1,"species"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus",521747.170898753,-3.32933503289551,1.65340797132498,-2.01361980263559,0.0440494657292038,1,"species"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae",4011.18970255279,5.83220150305047,2.91054953015133,2.00381455207437,0.0450899294192122,1,"family"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis",165544.348002102,-3.58148096494691,1.83220559247919,-1.95473749215051,0.0506140624138294,1,"species"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis",163797.378592609,-4.40997434198617,2.35751787406157,-1.87060059671513,0.0614004618442702,1,"species"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis_CAG_32",429.941288037882,5.41237875691314,2.92195889299833,1.85231173849927,0.0639810710637,1,"species"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_CAG_471",2.02573534362135,-5.4770948347159,2.98091675341331,-1.83738604187598,0.06615292592251,1,"species"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_scindens",2133.00629987679,-5.24773607911094,2.91061336350355,-1.80296570644277,0.0713936006210279,1,"species"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Monoglobus",15024.6184771607,-5.20577880347272,2.91026901853641,-1.78876205956065,0.0736531435807417,1,"genus"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Monoglobus|s__Monoglobus_pectinilyticus",10448.822799737,-4.86932659890665,2.91028667972281,-1.67314327926293,0.0942990932766321,1,"species"
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Absiella|s__Absiella_dolichum",157.681187224524,4.74328644661308,2.9256396074926,1.62128186754973,0.104957201971868,1,"species"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum",6102.76039078012,-4.51580850535622,2.910317014766,-1.55165519166623,0.120744749568862,1,"species"
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_spiroforme",264.660015291843,-4.3889828623706,2.91232219509526,-1.50703890859405,0.131800684316773,1,"species"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_massiliensis",44102.5266679613,-3.39950359641285,2.26772356960731,-1.49908200539694,0.133852359206554,1,"species"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella",5737.03570502085,-4.32761617768719,2.91029382920886,-1.48700317962864,0.137013971165659,1,"genus"
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae",70950.7450594875,2.03088458545434,1.37027019953982,1.48210519803785,0.138312305914599,1,"family"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans",193921.536352313,-2.10240794482319,1.41980262549309,-1.48077479719622,0.138666594595182,1,"species"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium",135441.637192346,2.00625173454572,1.37059326772873,1.46378344457387,0.143253127283964,1,"genus"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron",204591.204748276,-2.94673724922619,2.02959829978536,-1.45188200519178,0.146534416867686,1,"species"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Pseudoflavonifractor",684.859356663403,-4.19365015229883,2.91078785677675,-1.44072682677145,0.149661872880883,1,"genus"
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales",80860.7197677662,2.02397136400911,1.40835389173149,1.43711845147156,0.150684339194254,1,"order"
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma",2.0837907619792,4.23504082437694,2.9879876574867,1.41735552814806,0.156379007961748,1,"genus"
"k__Bacteria|p__Actinobacteria",587742.761574447,1.23439163011152,0.895507289262193,1.37842722768737,0.168071421732112,1,"phylum"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaeromassilibacillus|s__Anaeromassilibacillus_sp_An250",5406.33230289305,-2.96651045921751,2.16112063553982,-1.37267231196305,0.169854240504922,1,"species"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii",1499716.61891386,-2.45245540003545,1.87925150724681,-1.30501712547694,0.191887016416557,1,"species"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus",20266.3507277556,3.72078996181389,2.91024342219241,1.27851503191814,0.201067888014927,1,"genus"
"k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified|g__Proteobacteria_unclassified",126.631060159705,3.65131234312099,2.91377060395353,1.25312278810375,0.210161023954131,1,"genus"
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae",265632.231841317,2.26733742245134,1.8287764477589,1.23981114544092,0.215045254825721,1,"family"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus",10506.3101336184,3.49282128599461,2.82677517989209,1.23562047340742,0.216599670860989,1,"species"
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia",386614.3037598,1.29442719733916,1.07070548754659,1.20894794357055,0.226682845290891,1,"class"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger",5816.69293980668,3.0764014643667,2.5959828219212,1.1850623349233,0.235992801734798,1,"genus"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaeromassilibacillus",4225.45336090308,-2.51239857248376,2.14824811654921,-1.1695104271845,0.242198042631998,1,"genus"
"k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae|g__C2virus|s__Lactococcus_virus_bIL67",1105.85715294284,-3.06576878740489,2.67948362001898,-1.1441640338832,0.252555615771627,1,"species"
