"Gene","Estimate","Std. Error","df","t value","Pr(>|t|)","score","padj"
"KLRG1",-0.0901863086057225,0.185899315983155,28.405584273535,-0.485135236398043,0.631301043189035,"sppb_score",0.999145803413394
"KIR_Inhibiting_Subgroup_2",-0.0480606834231441,0.100738453564995,10.3390600125734,-0.477083791961685,0.643226859007819,"sppb_score",0.999145803413394
"TNFRSF18",-0.0741318608364073,0.160772557853319,19.6972829768204,-0.46109772604378,0.649779368390345,"sppb_score",0.999145803413394
"PRDM1",-0.0703701034356605,0.155540652351427,19.1486398866956,-0.452422581311201,0.656048279325387,"sppb_score",0.999145803413394
"CD80",0.0615625827937508,0.138817840092302,17.1989376859259,0.443477457600672,0.662948694986848,"sppb_score",0.999145803413394
"BTLA",-0.0519161148295984,0.11578813523279,9.18516378282209,-0.448371629141638,0.664275165691037,"sppb_score",0.999145803413394
"CD86",-0.0407830591562558,0.0951888976420219,9.63342686168735,-0.428443444209525,0.67774936983974,"sppb_score",0.999145803413394
"IL.10",0.0574941352679778,0.137840995706573,14.017660919276,0.417104758807515,0.682919235986627,"sppb_score",0.999145803413394
"AHR",0.0501828503944532,0.123719609909784,12.3108995716235,0.405617593128901,0.691984563650434,"sppb_score",0.999145803413394
"POS_A",-0.0463133944829608,0.114537524415476,13.2745577855265,-0.40435127893076,0.692393873032635,"sppb_score",0.999145803413394
"CD244",0.045495968557961,0.114998161263028,12.9169473259131,0.395623443525335,0.698839584443374,"sppb_score",0.999145803413394
"NEG_H",0.0464858387452608,0.119094261433667,13.9880044981238,0.39032811644877,0.7021734293523,"sppb_score",0.999145803413394
"IL2RA",0.0534444145673394,0.137560441665456,15.2948103080505,0.388515869244699,0.702989041651978,"sppb_score",0.999145803413394
"C10orf54",0.0517797128152962,0.144451178620161,18.8547130369264,0.358458223116701,0.723982625881739,"sppb_score",0.999145803413394
"TGFB1",0.0445118406833312,0.129754643744336,16.1759760321724,0.343046224773548,0.73598136147489,"sppb_score",0.999145803413394
"CD276",-0.0384298589471717,0.114771431071853,13.1253850556664,-0.334838196128379,0.743037839818959,"sppb_score",0.999145803413394
"CD3D",-0.0362529310635604,0.11110269105312,11.7697294173052,-0.326301106840224,0.749925429632295,"sppb_score",0.999145803413394
"ITCH",-0.0486511477968025,0.15270769545389,20.4049147672564,-0.318590020314286,0.753275473153048,"sppb_score",0.999145803413394
"CD274",0.0361896638358268,0.119434773154527,12.5371365997765,0.303007766331199,0.766853077049892,"sppb_score",0.999145803413394
"CD3E",0.0295401380511669,0.111489851599116,11.8071746385623,0.26495808925627,0.79561061285786,"sppb_score",0.999145803413394
