"microbe","Estimate","Std. Error","df","t value","Pr(>|t|)","aic","bic","r2.conditional","r2.marginal","icc","rmse","nobs","padj"
"NEG_A",0.0265058741800428,0.11980307038346,13.2606926694654,0.221245366209764,0.828271817463363,110.597143227161,118.228945850241,0.873895099393289,0.0067638251014159,0.873036339398747,0.235023245737958,34,0.999145803413394
"HAVCR2",-0.0274182281771879,0.1283112152971,13.4042788832169,-0.213685359566597,0.834008478041614,110.453622438791,118.085425061872,0.876784435094903,0.00724655889528179,0.875885028645194,0.232671338096298,34,0.999145803413394
"TIGIT",0.0246431420419272,0.116813368725954,12.3654472623857,0.210961658846946,0.83635389445333,110.655760864267,118.287563487348,0.873057449066827,0.00690257047816937,0.872175128885093,0.235516382763368,34,0.999145803413394
"NEG_D",-0.0177903191196218,0.0844153531767402,9.16751419562449,-0.210747434561747,0.837694390487504,111.312414259722,118.944216882803,0.871504968539642,0.00678632726135447,0.870627001029848,0.235721623917718,34,0.999145803413394
"KIR.Activating.Subgroup.1",0.021503484383325,0.108482728632472,10.0350817077073,0.198220349491544,0.846830667515456,110.83780215166,118.469604774741,0.867468211524337,0.00687475761237973,0.866550780486621,0.239812933871874,34,0.999145803413394
"POS_C",-0.0230360630950436,0.118608841053309,13.6413126266086,-0.194218768942275,0.848867109049777,110.627851282375,118.259653905456,0.874135155750591,0.00682797037979142,0.873269846012941,0.234969259285643,34,0.999145803413394
"CCR4",-0.028779705562501,0.149366328084366,17.8698709783005,-0.192678670832997,0.849383464901581,110.171531558358,117.803334181438,0.873089741261445,0.00680619979969836,0.872220045359767,0.236974160661757,34,0.999145803413394
"CD160",0.0362272962788416,0.191956639029596,30.1833652521581,0.188726456464244,0.851570465817572,109.648114185094,117.279916808174,0.88421169226403,0.00715620573660875,0.883377114904691,0.229874605270556,34,0.999145803413394
"B3GAT1",-0.0335897272287009,0.180100930138252,28.8531648918599,-0.186505018063573,0.853353898282994,109.776408185257,117.408210808338,0.883528883101342,0.00491506950753309,0.882953591869775,0.229853881790225,34,0.999145803413394
"CTLA4",0.0204714950070613,0.112730342260779,10.6507958943946,0.181597026998326,0.859308698171695,110.762122764598,118.393925387679,0.868363706179326,0.00671293930662928,0.867474067638831,0.23925335161626,34,0.999145803413394
"PDCD1",-0.0207649239646732,0.117327693048228,12.4854571115535,-0.176982291436837,0.862360958907162,110.658115663626,118.289918286707,0.873580391057499,0.00635085769398392,0.872772386589987,0.23509377028456,34,0.999145803413394
"KIR_Inhibiting_Subgroup_1",-0.0183349391177376,0.11387673791607,11.6521759994591,-0.161006887387755,0.874845714825772,110.72125179808,118.353054421161,0.874107909008102,0.00621433537375748,0.873320681236386,0.234418429790107,34,0.999145803413394
"Tcell.Senescence",0.0212114078701188,0.135854790142703,15.0520013538559,0.156132940530386,0.878003019173096,110.377878711631,118.009681334711,0.872273144115728,0.00683222669678496,0.871394482062723,0.237102299079453,34,0.999145803413394
"NEG_B",0.0166881457009627,0.107547054925494,11.2758551018682,0.155170643329321,0.879429681218808,110.838259254039,118.470061877119,0.873933823153566,0.00632604751188883,0.873131245384091,0.234474642489959,34,0.999145803413394
"TBX21",0.0245272387253355,0.168222312783227,20.3958314468031,0.145802529519027,0.885508657726887,109.936666909445,117.568469532525,0.876964315054295,0.00739656293022573,0.876047492532452,0.234155610778618,34,0.999145803413394
"PVRIG",0.0201181155066572,0.145043022683715,20.3658140740802,0.13870446943544,0.891046064447758,110.231238351363,117.863040974443,0.878467402534997,0.00669613345887785,0.877648118004208,0.232789450550961,34,0.999145803413394
"CD127",-0.0154369293111381,0.134232885146267,15.3264180578847,-0.115001098980457,0.909937405167867,110.410469685546,118.042272308627,0.872911190101054,0.00658284707153164,0.872069040156691,0.236673227471144,34,0.999145803413394
"TNFRSF14",0.0149905382938403,0.13804979660456,20.452657108938,0.108587905687252,0.914587630310272,110.340112852495,117.971915475575,0.877447635187497,0.00635862165423824,0.876663384312224,0.233672627314199,34,0.999145803413394
"SPI1",-0.00995856318847652,0.0921985697836912,9.13114384244055,-0.108012122225328,0.916322296516491,111.168546661023,118.800349284104,0.871705968410008,0.00628278186597843,0.870894828781472,0.235662331624011,34,0.999145803413394
"POS_B",-0.00924798752277358,0.108225416988368,12.0615930620223,-0.0854511609206137,0.933304778972497,110.846024498471,118.477827121551,0.873169209977096,0.00622917314586847,0.872374206813458,0.235406823800546,34,0.999145803413394
"BCL6",-0.00740717140425873,0.0946156535238396,9.48928444477582,-0.0782869549423173,0.93922589040713,111.123920632522,118.755723255603,0.87141500548999,0.0063598168383638,0.870591994276169,0.236063994539156,34,0.999145803413394
"POS_D",0.00849712122422835,0.122742822134961,15.2365749255538,0.0692270315805955,0.945709290660583,110.590950464292,118.222753087372,0.874639213793322,0.00584985950518575,0.873901555609817,0.234963174856766,34,0.999145803413394
"PTPRC_3",0.00957684976588124,0.148198813574897,18.7584285988838,0.0646216358610813,0.949158953027892,110.207145083412,117.838947706492,0.877015685121147,0.00604661888890781,0.876267521982394,0.233712970585364,34,0.999145803413394
"NECTIN2",-0.00671104421292252,0.105958710129556,10.4434005786742,-0.063336409104234,0.9506945650509,110.891971232202,118.523773855282,0.873110168701577,0.00617491436385451,0.872321766543857,0.235095083688042,34,0.999145803413394
"CCR6",-0.00892361661851503,0.159212557383782,17.7224006775201,-0.0560484472151568,0.955930270251743,110.070692567474,117.702495190555,0.875124464876591,0.00597234920882873,0.874374183631595,0.235754609086675,34,0.999145803413394
"LAG3",0.00895744149229774,0.170444055373699,20.5619034502675,0.0525535576624163,0.958594851704063,109.92804848608,117.559851109161,0.877326883673693,0.00600673021607998,0.876585566466688,0.233789715193433,34,0.999145803413394
"KIR_Activating_Subgroup_2",-0.00420432032954364,0.114424772702267,11.8369054525271,-0.0367430953127892,0.971302227282637,110.740363218128,118.372165841208,0.873231978839727,0.0059615602014909,0.872471711269065,0.235352041041837,34,0.999145803413394
"RORA",0.00523165219532804,0.149121640935037,19.6739279585465,0.035083118469754,0.972366979648286,110.197323796077,117.829126419158,0.877151879305785,0.0058233924603626,0.876432296070377,0.233762810134882,34,0.999145803413394
"NEG_G",-0.00241462759418871,0.130910585881449,17.9575540937918,-0.01844486126107,0.985487359190109,110.461669525445,118.093472148526,0.876147149891769,0.0059147027762857,0.87541023848343,0.234298660457918,34,0.999145803413394
"EGR1",-0.000864575403096651,0.0890353202602253,8.92913804115785,-0.00971047670261351,0.992465774786066,111.258038793178,118.889841416259,0.870122897528851,0.00620812600530709,0.869311567271034,0.236958571142225,34,0.999145803413394
"CD96",-0.387368430674635,0.192138642430987,20.6275740302333,-2.01608810062125,0.0570008363100249,95.8976118951415,102.558634446017,0.618935156886566,0.139631020961162,0.55709137312326,0.442586488795305,28,0.977133978113962
"RORA",-0.383511014122046,0.191397825688848,22.518003059887,-2.00373756985888,0.0572742324955561,95.9328754915618,102.593898042438,0.383290078153982,0.177550967860273,0.250154237227864,0.673346778962045,28,0.977133978113962
"GZMB",0.307656085658375,0.155611645691783,8.60720422852541,1.97707622903586,0.0808897406592526,97.5553179462988,104.216340497175,0.75253478286591,0.0970909747349403,0.725924528153383,0.320448523383542,28,0.977133978113962
"GRAIL",0.374954491895123,0.208526555127575,24.9935898885054,1.79811387410936,0.0842500462104338,96.9357397467597,103.596762297636,0.199912151992537,0.155687716865472,0.0523792393057237,0.848451598691129,28,0.977133978113962
